Driver Analysis,,Driver,Code,Source
,,Central Government Revenue,Central Government Revenue in USD (IMF),https://www.quandl.com/api/v3/datasets/ODA/CHN_GGR.xml?api_key=VisDzHjR9F8hyHG35baj
,,Central Government Expenditures,Central Government Expenditures as % of GDP (IMF),https://www.quandl.com/api/v3/datasets/ODA/CHN_GGX_NGDP.xml?api_key=VisDzHjR9F8hyHG35baj
,,Central Government Expenditures,Central Government Expenditures in USD (IMF),https://www.quandl.com/api/v3/datasets/ODA/CHN_GGX.xml?api_key=VisDzHjR9F8hyHG35baj
,,Interest / GDP,Interest Payments As % of Revenue (World Bank),https://www.quandl.com/api/v3/datasets/WWDI/CHN_GC_XPN_INTP_RV_ZS.xml?api_key=VisDzHjR9F8hyHG35baj
,,Government Bonds Benchmarks,Government 10Y Bond Monthly (Bank Of England QUANDL),https://www.investing.com/rates-bonds/china-10-year-bond-yield-historical-data
,,Central Bank Balance Sheet,Bank Of China Balance Sheet,https://fred.stlouisfed.org/graph/fredgraph.csv?bgcolor=%23e1e9f0&chart_type=line&drp=0&fo=open%20sans&graph_bgcolor=%23ffffff&height=450&mode=fred&recession_bars=off&txtcolor=%23444444&ts=12&tts=12&width=1168&nt=0&thu=0&trc=0&show_legend=yes&show_axis_titles=yes&show_tooltip=yes&id=DDDI02CNA156NWDB&scale=left&cosd=1985-01-01&coed=2016-01-01&line_color=%234572a7&link_values=false&line_style=solid&mark_type=none&mw=3&lw=2&ost=-99999&oet=99999&mma=0&fml=a&fq=Annual&fam=avg&fgst=lin&fgsnd=2009-06-01&line_index=1&transformation=lin&vintage_date=2019-12-28&revision_date=2019-12-28&nd=1985-01-01
,,Balance of Payments,Balance Of Payments ,https://api.db.nomics.world/v22/series/IMF/BOP?limit=1000&offset=0&q=bop&observations=1&format=csv&align_periods=1&dimensions=%7B%22FREQ%22%3A%5B%22Q%22%5D%2C%22INDICATOR%22%3A%5B%22BXGS_BP6_USD%22%2C%22BMG_BP6_USD%22%2C%22BXIP_BP6_USD%22%2C%22BMIP_BP6_USD%22%2C%22BXIS_BP6_USD%22%2C%22BMIS_BP6_USD%22%2C%22BFDA_BP6_USD%22%2C%22BFDL_BP6_USD%22%2C%22BOP_BP6_USD%22%5D%2C%22REF_AREA%22%3A%5B%22CN%22%5D%7D
Stock Market Data,,Stock Market Index,"Stock Market (Quandl, Wiki Continuous Futures)",https://www.investing.com/indices/shanghai-composite-historical-data
GDP Growth,,Real GDP,GDP Growth Annualised in USD (IMF),https://www.quandl.com/api/v3/datasets/ODA/CHN_NGDPD.xml?api_key=VisDzHjR9F8hyHG35baj
,,Real GDP,GDP Growth (Quarterly) (Current LCU) FRED ,https://fred.stlouisfed.org/graph/fredgraph.csv?bgcolor=%23e1e9f0&chart_type=line&drp=0&fo=open%20sans&graph_bgcolor=%23ffffff&height=450&mode=fred&recession_bars=off&txtcolor=%23444444&ts=12&tts=12&width=1168&nt=0&thu=0&trc=0&show_legend=yes&show_axis_titles=yes&show_tooltip=yes&id=CHNGDPNQDSMEI&scale=left&cosd=1992-01-01&coed=2019-01-01&line_color=%234572a7&link_values=false&line_style=solid&mark_type=none&mw=3&lw=2&ost=-99999&oet=99999&mma=0&fml=a&fq=Quarterly&fam=avg&fgst=lin&fgsnd=2009-06-01&line_index=1&transformation=lin&vintage_date=2019-12-28&revision_date=2019-12-28&nd=1992-01-01
,,Real GDP,GDP Growth Annualised (Constant LCU) IMF,https://www.quandl.com/api/v3/datasets/ODA/CHN_NGDP_R.xml?api_key=VisDzHjR9F8hyHG35baj
,,Real GDP,GDP Deflator (IMF),"https://www.quandl.com/api/v3/datasets/ODA/CHN_NGDP_D.xml?api_key=VisDzHjR9F8hyHG35baj
"
