Driver Analysis,,Driver,Code,Source
,,Central Government Revenue,Central Government Revenue in USD (IMF),https://www.quandl.com/api/v3/datasets/ODA/JPN_GGR.xml?api_key=VisDzHjR9F8hyHG35baj
,,Central Government Expenditures,Central Government Expenditures as % of GDP (IMF),https://www.quandl.com/api/v3/datasets/ODA/JPN_GGX_NGDP.xml?api_key=VisDzHjR9F8hyHG35baj
,,Central Government Expenditures,Central Government Expenditures in USD (IMF),https://www.quandl.com/api/v3/datasets/ODA/JPN_GGX.xml?api_key=VisDzHjR9F8hyHG35baj
,,Interest / GDP,Interest Payments As % of Revenue (World Bank),https://www.quandl.com/api/v3/datasets/WWDI/CHN_GC_XPN_INTP_RV_ZS.xml?api_key=VisDzHjR9F8hyHG35baj
,,Government Bonds Benchmarks,Government 10Y Bond Monthly (Bank Of Japan QUANDL),https://www.quandl.com/api/v3/datasets/MOFJ/INTEREST_RATE_JAPAN_10Y.xml?api_key=VisDzHjR9F8hyHG35baj
,,Central Bank Balance Sheet,Bank Of Japan Time Series,https://fred.stlouisfed.org/graph/fredgraph.csv?bgcolor=%23e1e9f0&chart_type=line&drp=0&fo=open%20sans&graph_bgcolor=%23ffffff&height=450&mode=fred&recession_bars=off&txtcolor=%23444444&ts=12&tts=12&width=1168&nt=0&thu=0&trc=0&show_legend=yes&show_axis_titles=yes&show_tooltip=yes&id=JPNASSETS&scale=left&cosd=1998-04-01&coed=2019-06-01&line_color=%234572a7&link_values=false&line_style=solid&mark_type=none&mw=3&lw=2&ost=-99999&oet=99999&mma=0&fml=a&fq=Monthly%2C%20End%20of%20Period&fam=avg&fgst=lin&fgsnd=2009-06-01&line_index=1&transformation=lin&vintage_date=2019-12-28&revision_date=2019-07-10&nd=1998-04-01
,,COT Report,Cot Report - YEN FX,https://www.quandl.com/api/v3/datasets/CFTC/097741_F_ALL.xml?api_key=VisDzHjR9F8hyHG35baj
,,Balance of Payments (Deutsche Bundesbank),Balance Of Payments ,https://www.mof.go.jp/international_policy/reference/balance_of_payments/bp_trend/bpnet/sbp/s-1/6s-1-3.csv
Stock Market Data,,Stock Market Index,"Stock Market (Quandl, Wiki Continuous Futures)",https://www.quandl.com/api/v3/datasets/CHRIS/CME_NK1.csv?api_key=VisDzHjR9F8hyHG35baj
GDP Growth,,Real GDP,GDP Growth Annualised in USD (IMF),https://www.quandl.com/api/v3/datasets/ODA/JPN_NGDPD.xml?api_key=VisDzHjR9F8hyHG35baj
,,Real GDP,GDP Growth (Quarterly) (Constant LCU) FRED,https://fred.stlouisfed.org/graph/fredgraph.csv?bgcolor=%23e1e9f0&chart_type=line&drp=0&fo=open%20sans&graph_bgcolor=%23ffffff&height=450&mode=fred&recession_bars=off&txtcolor=%23444444&ts=12&tts=12&width=1168&nt=0&thu=0&trc=0&show_legend=yes&show_axis_titles=yes&show_tooltip=yes&id=JPNRGDPEXP&scale=left&cosd=1994-01-01&coed=2019-01-01&line_color=%234572a7&link_values=false&line_style=solid&mark_type=none&mw=3&lw=2&ost=-99999&oet=99999&mma=0&fml=a&fq=Quarterly&fam=avg&fgst=lin&fgsnd=2009-06-01&line_index=1&transformation=lin&vintage_date=2019-12-28&revision_date=2019-12-28&nd=1994-01-01
,,Real GDP,GDP Growth Annualised (Constant LCU) IMF,https://www.quandl.com/api/v3/datasets/ODA/JPN_NGDP_R.xml?api_key=VisDzHjR9F8hyHG35baj
