Driver Analysis,,Driver,Code,Source
,,Central Government Revenue,Central Government Revenue in USD (IMF),https://www.quandl.com/api/v3/datasets/ODA/CAN_GGR.xml?api_key=VisDzHjR9F8hyHG35baj
,,Central Government Expenditures,Central Government Expenditures as % of GDP (EuroStat),https://www.quandl.com/api/v3/datasets/ODA/CAN_GGX_NGDP.xml?api_key=VisDzHjR9F8hyHG35baj
,,Central Government Expenditures,Central Government Expenditures in USD (IMF),https://www.quandl.com/api/v3/datasets/ODA/CAN_GGX.xml?api_key=VisDzHjR9F8hyHG35baj
,,Interest / GDP,Interest Payments As % of Revenue (World Bank),https://www.quandl.com/api/v3/datasets/WWDI/CAN_GC_XPN_INTP_RV_ZS.xml?api_key=VisDzHjR9F8hyHG35baj
,,Government Bonds Benchmarks,Government 10Y Bond Monthly (Bank Of England QUANDL),https://www.bankofcanada.ca/stats/results//csv?rangeType=dates&lP=lookup_tbill_yields.php&sR=1985-06-24&se=L_V121777-L_V121778-L_V121779-L_V121780&dF=1985-06-29&dT=2019-12-28
,,Central Bank Balance Sheet (BOC),Bank Of Canada Weekly Report,https://www.bankofcanada.ca/valet/observations/group/b2_weekly/csv?start_date=1980-12-01
,,COT Report,Cot Report - CAD FX,https://www.quandl.com/api/v3/datasets/CFTC/090741_F_ALL.xml?api_key=VisDzHjR9F8hyHG35baj
,,Balance Of Payments,BOP,https://www150.statcan.gc.ca/n1/tbl/csv/36100003-eng.zip
Stock Market Data,,Stock Market Index,"Stock Market (Quandl, Wiki Continuous Futures)",https://www.quandl.com/api/v3/datasets/CHRIS/MX_SCF2.xml?api_key=VisDzHjR9F8hyHG35baj
GDP Growth,,Real GDP,GDP Growth Annualised in USD (IMF),https://www.quandl.com/api/v3/datasets/ODA/CAN_NGDPD.xml?api_key=VisDzHjR9F8hyHG35baj
,,Real GDP,GDP Growth (Quarterly) (Constant LCU) FRED,https://fred.stlouisfed.org/graph/fredgraph.csv?bgcolor=%23e1e9f0&chart_type=line&drp=0&fo=open%20sans&graph_bgcolor=%23ffffff&height=450&mode=fred&recession_bars=off&txtcolor=%23444444&ts=12&tts=12&width=1168&nt=0&thu=0&trc=0&show_legend=yes&show_axis_titles=yes&show_tooltip=yes&id=NAEXKP01CAQ189S&scale=left&cosd=1961-01-01&coed=2019-01-01&line_color=%234572a7&link_values=false&line_style=solid&mark_type=none&mw=3&lw=2&ost=-99999&oet=99999&mma=0&fml=a&fq=Quarterly&fam=avg&fgst=lin&fgsnd=2009-06-01&line_index=1&transformation=lin&vintage_date=2019-12-28&revision_date=2019-12-28&nd=1961-01-01
,,Real GDP,GDP Growth Annualised (Constant LCU) IMF,https://www.quandl.com/api/v3/datasets/ODA/CAN_NGDP_R.xml?api_key=VisDzHjR9F8hyHG35baj
