GDP Growth Change,,,,,,,,,,,,,,,,
GDP QUARTERLY,,,,GDP YEARLY (USD),,GDP YEARLY (EURO and the Baltics),,,Descriptive Statistics Quarterly,,,Standard Dev,Upper,Lower,,
01/01/2010,871308.9,3.548%,42.58%,31/12/1988,202.607,31/12/1988,2490.15,2.46%,0.3,0,,,,,,
01/10/2009,841453,0.265%,3.17%,31/12/1987,179.074,31/12/1987,2430.36,3.27%,More,0,,,,,,
01/07/2009,839233.2,-0.164%,-1.97%,31/12/1986,147.297,31/12/1986,2353.5,2.93%,,,,,,,,
01/04/2009,840614,-0.187%,-2.24%,31/12/1985,111.544,31/12/1985,2286.58,2.27%,,,,,,,,
01/01/2009,842185.6,-0.810%,-9.72%,31/12/1984,106.624,31/12/1984,2235.78,4.29%,,,,,,,,
01/10/2008,849063,-3.841%,-46.09%,31/12/1983,102.363,31/12/1983,2143.72,2.06%,,,,,,,,
01/07/2008,882974.1,-0.517%,-6.20%,31/12/1982,111.343,31/12/1982,2100.49,1.43%,,,,,,,,
01/04/2008,887561.4,-0.149%,-1.79%,31/12/1981,126.126,31/12/1981,2070.96,4.54%,,,,,,,,
01/01/2008,888887.6,-0.288%,-3.45%,31/12/1980,138.173,31/12/1980,1981.02,#DIV/0!,,,,,,,,
01/10/2007,891451.2,0.957%,11.49%,,,,,,,,,,,,,
01/07/2007,882998.7,0.747%,8.96%,,,,,,,,,,,,,
01/04/2007,876452,0.526%,6.31%,,,,,,,,,,,,,
01/01/2007,871866.5,1.098%,13.18%,,,,,,,,,,,,,
01/10/2006,862396.5,0.610%,7.32%,,,,,,,,,,,,,
01/07/2006,857164.6,1.089%,13.07%,,,,,,,,,,,,,
01/04/2006,847929.3,1.646%,19.75%,,,,,,,,,,,,,
01/01/2006,834196.5,1.505%,18.06%,,,,,,,,,,,,,
01/10/2005,821826.9,0.746%,8.95%,,,,,,,,,,,,,
01/07/2005,815743.7,1.141%,13.69%,,,,,,,,,,,,,
01/04/2005,806542.8,0.684%,8.20%,,,,,,,,,,,,,
01/01/2005,801067.2,0.410%,4.92%,,,,,,,,,,,,,
01/10/2004,797798.3,0.922%,11.06%,,,,,,,,,,,,,
01/07/2004,790511.9,0.670%,8.04%,,,,,,,,,,,,,
01/04/2004,785249.2,0.630%,7.55%,,,,,,,,,,,,,
01/01/2004,780336.6,1.623%,19.47%,,,,,,,,,,,,,
01/10/2003,767876.3,0.709%,8.51%,,,,,,,,,,,,,
01/07/2003,762471.2,1.293%,15.52%,,,,,,,,,,,,,
01/04/2003,752738.2,-0.414%,-4.97%,,,,,,,,,,,,,
01/01/2003,755869.9,1.040%,12.47%,,,,,,,,,,,,,
01/10/2002,748092.9,0.259%,3.11%,,,,,,,,,,,,,
01/07/2002,746161.6,0.492%,5.91%,,,,,,,,,,,,,
01/04/2002,742506.5,1.520%,18.24%,,,,,,,,,,,,,
01/01/2002,731388.4,-0.102%,-1.22%,,,,,,,,,,,,,
01/10/2001,732133.3,0.927%,11.12%,,,,,,,,,,,,,
01/07/2001,725409.8,0.375%,4.50%,,,,,,,,,,,,,
01/04/2001,722698.4,-0.127%,-1.53%,,,,,,,,,,,,,
01/01/2001,723618.3,0.481%,5.77%,,,,,,,,,,,,,
01/10/2000,720156.8,-0.251%,-3.01%,,,,,,,,,,,,,
01/07/2000,721968.5,0.875%,10.50%,,,,,,,,,,,,,
01/04/2000,715708.4,2.332%,27.99%,,,,,,,,,,,,,
01/01/2000,699397.1,0.832%,9.99%,,,,,,,,,,,,,
01/10/1999,693624.3,1.803%,21.63%,,,,,,,,,,,,,
01/07/1999,681340.8,0.966%,11.59%,,,,,,,,,,,,,
01/04/1999,674823.2,0.525%,6.30%,,,,,,,,,,,,,
01/01/1999,671300,1.293%,15.51%,,,,,,,,,,,,,
01/10/1998,662732.3,0.946%,11.35%,,,,,,,,,,,,,
01/07/1998,656524.2,0.698%,8.37%,,,,,,,,,,,,,
01/04/1998,651975.6,1.317%,15.80%,,,,,,,,,,,,,
01/01/1998,643502.9,0.470%,5.64%,,,,,,,,,,,,,
01/10/1997,640491.6,1.763%,21.15%,,,,,,,,,,,,,
01/07/1997,629398.1,0.918%,11.01%,,,,,,,,,,,,,
01/04/1997,623673.7,1.196%,14.36%,,,,,,,,,,,,,
01/01/1997,616300.3,0.952%,11.42%,,,,,,,,,,,,,
01/10/1996,610489.7,0.474%,5.68%,,,,,,,,,,,,,
01/07/1996,607611.2,0.545%,6.54%,,,,,,,,,,,,,
01/04/1996,604319.4,-0.514%,-6.17%,,,,,,,,,,,,,
01/01/1996,607442.3,0.532%,6.38%,,,,,,,,,,,,,
01/10/1995,604229.7,0.833%,10.00%,,,,,,,,,,,,,
01/07/1995,599237.8,0.547%,6.56%,,,,,,,,,,,,,
01/04/1995,595979.4,0.759%,9.10%,,,,,,,,,,,,,
01/01/1995,591492.4,1.101%,13.21%,,,,,,,,,,,,,
01/10/1994,585050.4,1.542%,18.50%,,,,,,,,,,,,,
01/07/1994,576166.9,1.147%,13.76%,,,,,,,,,,,,,
01/04/1994,569636,1.133%,13.60%,,,,,,,,,,,,,
01/01/1994,563252,1.114%,13.37%,,,,,,,,,,,,,
01/10/1993,557043.9,0.052%,0.63%,,,,,,,,,,,,,
01/07/1993,556753.7,1.126%,13.51%,,,,,,,,,,,,,
01/04/1993,550554.4,1.037%,12.45%,,,,,,,,,,,,,
01/01/1993,544902.1,#DIV/0!,#DIV/0!,,,,,,,,,,,,,
